text,standardized,keyword,link,match_source,matched_from_text
TRANSFER CREDIT PAYPAL 20260425030170224569,PayPal AU,PAYPAL,,knowledge_base_direct,TRANSFER CREDIT PAYPAL 20260425030170224569
FEES V9941 07/03 INTL TXN FEE-MC 74007036067,,,,unresolved,
Visa Purchase 26Feb Woolworths/Lakeside Jordan Sp,Woolworths,Woolworths/Lakeside,,knowledge_base_direct,Visa Purchase 26Feb Woolworths/Lakeside Jordan Sp
Visa Purchase 08Jan Woolworths/Lakeside Jordan Sp,Woolworths,Woolworths/Lakeside,,knowledge_base_keyword,Visa Purchase 26Feb Woolworths/Lakeside Jordan Sp
MISCELLANEOUS DEBIT V9941 29/01 WFUN GAME 2022904969 24036296029,,,,unresolved,
Atm Withdrawal -Wnb 12Jan17:48 Pioneer Tavern Nsw South Penrithau,Pioneer Tavern,Pioneer Tavern,https://www.pioneertavern.com.au,ai_keyword,Atm Withdrawal -Wnb 29Jan15:52 Pioneer Tavern Nsw South Penrithau
Visa Purchase O/Seas 06Mar Eur18.16 Alventa,Alventa,Alventa,https://www.alventa.com,ai_direct,Visa Purchase O/Seas 06Mar Eur18.16 Alventa
Visa Purchase 21Feb Woolworths/Lakeside Jordan Sp,Woolworths,Woolworths/Lakeside,,knowledge_base_keyword,Visa Purchase 26Feb Woolworths/Lakeside Jordan Sp
FEES V9941 26/04 INTL TXN FEE-MC 24906416116,,,,unresolved,
VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD,bet365,BET365.COM,,knowledge_base_direct,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
VISA PURCHASE BET 365 BET365.COM 30/01 AU AUD,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
VISA PURCHASE Vegastars Nicosia 12/03 CY 100.000 AUD,Vegastars Nicosia,Vegastars Nicosia,,knowledge_base_direct,VISA PURCHASE Vegastars Nicosia 12/03 CY 100.000 AUD
ATM WITHDRAWAL COOLUM BEACH SLSC,Coolum Beach SLSC,COOLUM BEACH SLSC,https://coolumbeachslsc.com.au,ai_direct,ATM WITHDRAWAL COOLUM BEACH SLSC
VISA CREDIT bet365 com au North Sydn AU,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
OSKO PAYMENT FROM SHAUN OSBORNE Me REF NO 30262640,,,,unresolved,
VISA CASH ADV KAWANA WATERS HTL 2 BUDDINA 08/05 AU AUD,Kawana Waters Hotel,KAWANA WATERS HTL,https://www.kawanawatershotel.com.au,ai_direct,VISA CASH ADV KAWANA WATERS HTL 2 BUDDINA 08/05 AU AUD
VISA PURCHASE BET 365 BET365.COM 22/03 AU AUD,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
VISA PURCHASE BOSSBET Macq Gosford 21/02 AU AUD,BossBet,BOSSBET,,knowledge_base_direct,VISA PURCHASE BOSSBET Macq Gosford 21/02 AU AUD
VISA PURCHASE WOOLWORTHS/SOUTH COOLU COOLUM BEACH 07/05 AU AUD,Woolworths,WOOLWORTHS,,knowledge_base_direct,VISA PURCHASE WOOLWORTHS/SOUTH COOLU COOLUM BEACH 07/05 AU AUD
ATM WITHDRAWAL COOLUM HOTEL,Coolum Hotel,COOLUM HOTEL,https://www.coolumhotel.com.au,ai_direct,ATM WITHDRAWAL COOLUM HOTEL
VISA PURCHASE BET 365 BET365.COM 18/04 AU AUD,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
VISA PURCHASE BET 365 BET365.COM 14/02 AU AUD,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
VISA PURCHASE NPC Cafe Coolum Coolum Beach 14/02 AU AUD,NPC Cafe,NPC Cafe,,knowledge_base_direct,VISA PURCHASE NPC Cafe Coolum Coolum Beach 14/02 AU AUD
ATM WITHDRAWAL NP-The Surf Club Moolo,The Surf Club Mooloolaba,The Surf Club Moolo,https://www.thesurfclubmooloolaba.com.au,ai_direct,ATM WITHDRAWAL NP-The Surf Club Moolo
UBER *EATS HELP.UBER.C Sydney AUS,Uber,UBER *EATS,,knowledge_base_direct,UBER *EATS HELP.UBER.C Sydney AUS
VISA WDL APPLE.COM/BILL SYDNEY AU,Apple,APPLE.COM/BILL,,knowledge_base_keyword,MISCELLANEOUS DEBIT V2572 10/05 APPLE.COM/BILL SYDNEY 74798066130
EFT Dep ACCESSPAY LeeNola Simpson,,,,unresolved,
TRANSFER CREDIT PAYPAL 20251222020170066214,PayPal AU,PAYPAL,,knowledge_base_keyword,TRANSFER CREDIT PAYPAL 20260425030170224569
MISCELLANEOUS DEBIT V1459 03/04 WFUN SMEDGE 585-202243 24906416093,,,,unresolved,
FEES V1459 20/12 INTL TXN FEE-MC 24388865354,,,,unresolved,
MISCELLANEOUS DEBIT V1459 02/04 HAPPYFARM@DRAGFIR.CO 719-214509 24352946093,,,,unresolved,
MISCELLANEOUS DEBIT V1459 08/02 ONA*AFM BBPS norhengame 74007036040,,,,unresolved,
MISCELLANEOUS DEBIT V1459 07/05 HAPPYFARM@DRAGFIR.CO 719-214509 24352946128,,,,unresolved,
FEES V1459 21/12 INTL TXN FEE-MC 24388865355,,,,unresolved,
INDEBTED,,,,unresolved,
MISCELLANEOUS DEBIT V9819 26/11 MCDONALDS G HOMEMAKE WEBBERTON 74564725331,McDonald's,Mcdonalds,,knowledge_base_keyword,Visa Purchase 01May Mcdonalds Penrith Le Penrith
MISCELLANEOUS DEBIT V2965 26/02 CITY OF GRT GERALDTON MOONYOONOO 74564726058,City of Greater Geraldton,CITY OF GRT GERALDTON,,knowledge_base_direct,MISCELLANEOUS DEBIT V2965 26/02 CITY OF GRT GERALDTON MOONYOONOO 74564726058
MISCELLANEOUS DEBIT V9819 22/11 COLES 0350 GERALDTON 74363965326,Coles,COLES,,knowledge_base_direct,MISCELLANEOUS DEBIT V9819 22/11 COLES 0350 GERALDTON 74363965326
INTER-BANK CREDIT 1048347702290 PAYPAL AUSTRALIA CYAL EDWARD MCIN,PayPal AU,PAYPAL,,knowledge_base_keyword,TRANSFER CREDIT PAYPAL 20260425030170224569
DEPOSIT MERRY CHRISTMAS|,,,,unresolved,
Tfr Wdl BPAY Internet 18Feb05:33 0201874435 Engie,Engie,Engie,https://www.engie.com.au,ai_direct,Tfr Wdl BPAY Internet 18Feb05:33 0201874435 Engie
Visa Purchase O/Seas 06Dec Eur22.82 Applepay,Apple,Applepay,https://www.apple.com,ai_direct,Visa Purchase O/Seas 06Dec Eur22.82 Applepay
Dcj Caf Payroll 126900372720016301,,,,unresolved,
Visa Purchase 01Dec Mcdonalds Narellant/ Narellan,McDonald's,Mcdonalds,,knowledge_base_keyword,Visa Purchase 01May Mcdonalds Penrith Le Penrith
Visa Purchase 13Dec Www.Alhgroup.Com* Me Surry Hil,ALH Group,Www.Alhgroup.Com*,,knowledge_base_direct,Visa Purchase 13Dec Www.Alhgroup.Com* Me Surry Hil
Tfr Wdl BPAY Internet 12Mar05:36 2100036944292 Telstra Services,Telstra,Telstra,,knowledge_base_direct,Tfr Wdl BPAY Internet 12Mar05:36 2100036944292 Telstra Services
Foreign Currency Conversn Fee,,,,unresolved,
Visa Purchase 09Dec Alventa Malta,Alventa Malta,Alventa Malta,https://www.alventamalta.com,ai_keyword,Visa Purchase 12Dec Alventa Malta
Visa Purchase 02Dec Alventa Malta,Alventa Malta,Alventa Malta,https://www.alventamalta.com,ai_keyword,Visa Purchase 12Dec Alventa Malta
Visa Purchase O/Seas 07Jan Eur14.46 Silent Horizon Netwo,Silent Horizon Network,Silent Horizon Netwo,https://silenthorizon.network,ai_direct,Visa Purchase O/Seas 07Jan Eur14.46 Silent Horizon Netwo
Eftpos Debit 11Dec12:13 Sushi Haroo Nswnswau,Sushi Haroo,Sushi Haroo,,knowledge_base_direct,Eftpos Debit 11Dec12:13 Sushi Haroo Nswnswau
Visa Purchase 12Dec Alventa Malta,Alventa Malta,Alventa Malta,https://www.alventamalta.com,ai_direct,Visa Purchase 12Dec Alventa Malta
MISCELLANEOUS DEBIT V2572 05/03 APPLE.COM/BILL SYDNEY 74798066064,Apple,APPLE.COM/BILL,,knowledge_base_keyword,MISCELLANEOUS DEBIT V2572 10/05 APPLE.COM/BILL SYDNEY 74798066130
MISCELLANEOUS DEBIT V2572 11/12 ELGAS LIMITED NORTH RYDE 74564725345,Elgas Limited,ELGAS LIMITED,,knowledge_base_direct,MISCELLANEOUS DEBIT V2572 11/12 ELGAS LIMITED NORTH RYDE 74564725345
Credit Interest,,,,unresolved,
MISCELLANEOUS DEBIT V2572 11/12 Optus Billing MacquarieP 74564455345,Optus,Optus Billing,,knowledge_base_direct,MISCELLANEOUS DEBIT V2572 11/12 Optus Billing MacquarieP 74564455345
ROCHEDALEMKT L0856 ROCHEDALE QL AUS Card xx3034 Value Date: 28/03/2026,Rochedale Markets,ROCHEDALEMKT,,knowledge_base_keyword,ROCHEDALEMKT L0856 ROCHEDALE QL AUS Card xx3034 Value Date: 04/01/2026
EVENT GARDEN CITY Mt Gravatt AU AUS Card xx3034 Value Date: 08/02/2026,Event Cinemas Garden City,EVENT GARDEN CITY,,knowledge_base_direct,EVENT GARDEN CITY Mt Gravatt AU AUS Card xx3034 Value Date: 08/02/2026
PINEAPPLE HOTEL KANGAROO POIN AU AUS Card xx3034 Value Date: 28/11/2025,Pineapple Hotel,PINEAPPLE HOTEL,,knowledge_base_direct,PINEAPPLE HOTEL KANGAROO POIN AU AUS Card xx3034 Value Date: 28/11/2025
Direct Debit 387342 Goodlife Holland A00LKY8U1P34,Goodlife Health Clubs,Goodlife,,knowledge_base_direct,Direct Debit 387342 Goodlife Holland A00LKY8U1P34
Direct Debit 387342 Goodlife Holland A00LVTZG080Z,Goodlife Health Clubs,Goodlife,,knowledge_base_keyword,Direct Debit 387342 Goodlife Holland A00LKY8U1P34
WOOLWORTHS 4326 NORTHAM WA AUS Card xx9327 Value Date: 10/02/2026,Woolworths,WOOLWORTHS 4326,,knowledge_base_keyword,WOOLWORTHS 4326 NORTHAM WA AUS Card xx9327 Value Date: 24/04/2026
Google Toon Blast Barangaroo AU AUS Card xx9327 Value Date: 10/01/2026,Toon Blast,Toon Blast,,knowledge_base_keyword,Google Toon Blast Barangaroo AU AUS Card xx9327 Value Date: 13/11/2025
Debit Excess Interest,,,,unresolved,
SPUD SHED NORTHAM AUS Card xx9327 Value Date: 17/11/2025,Spudshed,SPUD SHED,,knowledge_base_direct,SPUD SHED NORTHAM AUS Card xx9327 Value Date: 17/11/2025
Google Toon Blast Barangaroo AU AUS Card xx9327 Value Date: 01/01/2026,Toon Blast,Toon Blast,,knowledge_base_keyword,Google Toon Blast Barangaroo AU AUS Card xx9327 Value Date: 13/11/2025
GREAT SOUTHERN FUELS NORTHAM AUS Card xx9327 Value Date: 07/01/2026,Great Southern Fuels,GREAT SOUTHERN FUELS,,knowledge_base_direct,GREAT SOUTHERN FUELS NORTHAM AUS Card xx9327 Value Date: 07/01/2026
Foreign Currency Conversn Fee,,,,unresolved,
MISCELLANEOUS DEBIT V9941 19/02 AWX*Priwar WR SSPH.SKILL 24692166050,Priwar,AWX*Priwar WR SSPH.SKILL,,knowledge_base_keyword,MISCELLANEOUS DEBIT V1459 22/02 AWX*Priwar WR SSPH.SKILL 24692166053
Visa Purchase 22Dec Woolworths/Lakeside Jordan Sp,Woolworths,Woolworths/Lakeside,,knowledge_base_keyword,Visa Purchase 26Feb Woolworths/Lakeside Jordan Sp
MISCELLANEOUS DEBIT V9941 10/05 SPORTSBET WWW.SPORTS 74316016130,Sportsbet,SPORTSBET WWW.SPORTS,,knowledge_base_direct,MISCELLANEOUS DEBIT V9941 10/05 SPORTSBET WWW.SPORTS 74316016130
MISCELLANEOUS DEBIT V9941 06/01 WFUN GAME 2022904969 24036296006,,,,unresolved,
MISCELLANEOUS DEBIT V9941 26/04 WFUN SMEDGE 585-202243 24906416116,,,,unresolved,
Eftpos Debit 14Mar12:08 Sunshine Communicationpenrith Au,Sunshine Communication,Sunshine Communication,,knowledge_base_direct,Eftpos Debit 14Mar12:08 Sunshine Communicationpenrith Au
MISCELLANEOUS DEBIT V9941 11/04 AWX*Priwar WR SSPH.SKILL 24692166101,Priwar,AWX*Priwar WR SSPH.SKILL,,knowledge_base_keyword,MISCELLANEOUS DEBIT V1459 22/02 AWX*Priwar WR SSPH.SKILL 24692166053
Osko Deposit 24Mar20:52 Fairbairn Bros Reece M Mcguire,Fairbairn Bros,Fairbairn Bros,https://www.fairbairnbros.com.au,ai_direct,Osko Deposit 24Mar20:52 Fairbairn Bros Reece M Mcguire
Qantas Health 68308258,Qantas Health Insurance,Qantas Health,,knowledge_base_direct,Qantas Health 68308258
Qantas Health 68308258,Qantas Health Insurance,Qantas Health,,knowledge_base_direct,Qantas Health 68308258
Visa Purchase 26Jan Woolworths/Maxwell S South Pen,Woolworths,Woolworths/Maxwell S,,knowledge_base_keyword,Visa Purchase 22Mar Woolworths/Maxwell S South Pen
MISCELLANEOUS DEBIT V6062 28/04 WFUN SMEDGE 585-202243 24906416118,,,,unresolved,
VISA PURCHASE BET 365 BET365.COM 12/03 AU AUD,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
VISA PURCHASE BET 365 BET365.COM 30/01 AU AUD,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
EFTPOS WDL GLASSHOUSE BAR SCA \NAMBOUR AU,Glasshouse Bar,GLASSHOUSE BAR,https://www.glasshousebar.com.au,ai_direct,EFTPOS WDL GLASSHOUSE BAR SCA \NAMBOUR AU
VISA PURCHASE BET 365 BET365.COM 14/01 AU AUD,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
ATM OPERATOR FEE WITHDRAWAL PUB MOOLOOLABA,Pub Mooloolaba,PUB MOOLOOLABA,https://www.pubmooloolaba.com.au,ai_direct,ATM OPERATOR FEE WITHDRAWAL PUB MOOLOOLABA
BET 365 DARWIN AU,bet365,BET 365,,knowledge_base_direct,BET 365 DARWIN AU
ATM WITHDRAWAL COOLUM BEACH SLSC,Coolum Beach SLSC,COOLUM BEACH SLSC,https://coolumbeachslsc.com.au,ai_direct,ATM WITHDRAWAL COOLUM BEACH SLSC
VISA PURCHASE TF* GOODASIAN.YUMBOJUM KYNETON 17/04 AU AUD,Good Asian Yum Bo Jum,GOODASIAN.YUMBOJUM,https://www.goodasian.com.au,ai_direct,VISA PURCHASE TF* GOODASIAN.YUMBOJUM KYNETON 17/04 AU AUD
ATM WITHDRAWAL NP-Skycity AdelaideCas,SkyCity Adelaide Casino,Skycity AdelaideCas,https://www.skycityadelaide.com.au,ai_direct,ATM WITHDRAWAL NP-Skycity AdelaideCas
VISA PURCHASE BET 365 BET365.COM 19/03 AU AUD,bet365,BET365.COM,,knowledge_base_keyword,VISA PURCHASE BET 365 BET365.COM 20/03 AU AUD
VISA PURCHASE ALH VENUES/DAVID LOW W COOLUM BCH 14/05 AU AUD,ALH Hotels,ALH VENUES/DAVID LOW W,,knowledge_base_direct,VISA PURCHASE ALH VENUES/DAVID LOW W COOLUM BCH 14/05 AU AUD
